year,campus,programme_code,programme_name,degree_type,cutoff_score,max_score
2024,Pilani,BE-CIV,"B.E. Civil",BE,238,390
2024,Pilani,BE-CSE,"B.E. Computer Science",BE,327,390
2024,Pilani,BE-ECE,"B.E. Electronics & Communication",BE,314,390
2024,Pilani,BE-EEE,"B.E. Electrical & Electronics",BE,292,390
2024,Pilani,BE-EIE,"B.E. Electronics & Instrumentation",BE,282,390
2024,Pilani,BE-MANF,"B.E. Manufacturing",BE,243,390
2024,Pilani,BE-MECH,"B.E. Mechanical",BE,266,390
2024,Pilani,BE-MNC,"B.E. Mathematics and Computing",BE,318,390
2024,Pilani,BPHARM,"B. Pharm.",BPHARM,165,390
2024,Pilani,MSC-BIO,"M.Sc. Biological Sciences",MSC,236,390
2024,Pilani,MSC-CHEM,"M.Sc. Chemistry",MSC,241,390
2024,Pilani,MSC-ECON,"M.Sc. Economics",MSC,271,390
2024,Pilani,MSC-MATH,"M.Sc. Mathematics",MSC,256,390
2024,Pilani,MSC-PHYS,"M.Sc. Physics",MSC,254,390
2023,Goa,BE-CHE,"B.E. Chemical",BE,209,390
2023,Goa,BE-CSE,"B.E. Computer Science",BE,295,390
2023,Goa,BE-ECE,"B.E. Electronics & Communication",BE,267,390
2023,Goa,BE-EEE,"B.E. Electrical & Electronics",BE,252,390
2023,Goa,BE-EIE,"B.E. Electronics & Instrumentation",BE,244,390
2023,Goa,BE-MECH,"B.E. Mechanical",BE,223,390
2023,Goa,MSC-BIO,"M.Sc. Biological Sciences",MSC,204,390
2023,Goa,MSC-CHEM,"M.Sc. Chemistry",MSC,205,390
2023,Goa,MSC-ECON,"M.Sc. Economics",MSC,239,390
2023,Goa,MSC-MATH,"M.Sc. Mathematics",MSC,221,390
2023,Goa,MSC-PHYS,"M.Sc. Physics",MSC,222,390
2023,Hyderabad,BE-CHE,"B.E. Chemical",BE,207,390
2023,Hyderabad,BE-CIV,"B.E. Civil",BE,204,390
2023,Hyderabad,BE-CSE,"B.E. Computer Science",BE,284,390
2023,Hyderabad,BE-ECE,"B.E. Electronics & Communication",BE,265,390
2023,Hyderabad,BE-EEE,"B.E. Electrical & Electronics",BE,251,390
2023,Hyderabad,BE-EIE,"B.E. Electronics & Instrumentation",BE,244,390
2023,Hyderabad,BE-MECH,"B.E. Mechanical",BE,218,390
2023,Hyderabad,BPHARM,"B. Pharm.",BPHARM,135,390
2023,Hyderabad,MSC-BIO,"M.Sc. Biological Sciences",MSC,204,390
2023,Hyderabad,MSC-CHEM,"M.Sc. Chemistry",MSC,205,390
2023,Hyderabad,MSC-ECON,"M.Sc. Economics",MSC,236,390
2023,Hyderabad,MSC-MATH,"M.Sc. Mathematics",MSC,219,390
2023,Hyderabad,MSC-PHYS,"M.Sc. Physics",MSC,219,390
2023,Pilani,BE-CHE,"B.E. Chemical",BE,224,390
2023,Pilani,BE-CIV,"B.E. Civil",BE,213,390
2023,Pilani,BE-CSE,"B.E. Computer Science",BE,331,390
2023,Pilani,BE-ECE,"B.E. Electronics & Communication",BE,296,390
2023,Pilani,BE-EEE,"B.E. Electrical & Electronics",BE,272,390
2023,Pilani,BE-EIE,"B.E. Electronics & Instrumentation",BE,266,390
2023,Pilani,BE-MANF,"B.E. Manufacturing",BE,220,390
2023,Pilani,BE-MECH,"B.E. Mechanical",BE,244,390
2023,Pilani,BPHARM,"B. Pharm.",BPHARM,153,390
2023,Pilani,MSC-BIO,"M.Sc. Biological Sciences",MSC,212,390
2023,Pilani,MSC-CHEM,"M.Sc. Chemistry",MSC,213,390
2023,Pilani,MSC-ECON,"M.Sc. Economics",MSC,257,390
2023,Pilani,MSC-MATH,"M.Sc. Mathematics",MSC,236,390
2023,Pilani,MSC-PHYS,"M.Sc. Physics",MSC,235,390
2022,Goa,BE-CHE,"B.E. Chemical",BE,165,390
2022,Goa,BE-CSE,"B.E. Computer Science",BE,286,390
2022,Goa,BE-ECE,"B.E. Electronics & Communication",BE,256,390
2022,Goa,BE-EEE,"B.E. Electrical & Electronics",BE,237,390
2022,Goa,BE-EIE,"B.E. Electronics & Instrumentation",BE,224,390
2022,Goa,BE-MECH,"B.E. Mechanical",BE,191,390
2022,Goa,MSC-BIO,"M.Sc. Biological Sciences",MSC,164,390
2022,Goa,MSC-CHEM,"M.Sc. Chemistry",MSC,163,390
2022,Goa,MSC-ECON,"M.Sc. Economics",MSC,230,390
2022,Goa,MSC-MATH,"M.Sc. Mathematics",MSC,187,390
2022,Goa,MSC-PHYS,"M.Sc. Physics",MSC,188,390
2022,Hyderabad,BE-CHE,"B.E. Chemical",BE,162,390
2022,Hyderabad,BE-CIV,"B.E. Civil",BE,158,390
2022,Hyderabad,BE-CSE,"B.E. Computer Science",BE,279,390
2022,Hyderabad,BE-ECE,"B.E. Electronics & Communication",BE,252,390
2022,Hyderabad,BE-EEE,"B.E. Electrical & Electronics",BE,230,390
2022,Hyderabad,BE-EIE,"B.E. Electronics & Instrumentation",BE,222,390
2022,Hyderabad,BE-MECH,"B.E. Mechanical",BE,182,390
2022,Hyderabad,BPHARM,"B. Pharm.",BPHARM,109,390
2022,Hyderabad,MSC-BIO,"M.Sc. Biological Sciences",MSC,158,390
2022,Hyderabad,MSC-CHEM,"M.Sc. Chemistry",MSC,160,390
2022,Hyderabad,MSC-ECON,"M.Sc. Economics",MSC,220,390
2022,Hyderabad,MSC-MATH,"M.Sc. Mathematics",MSC,177,390
2022,Hyderabad,MSC-PHYS,"M.Sc. Physics",MSC,173,390
